GEO.id,GEO.id2,GEO.display-label,D001,D002,D003,D004,D005,D006,D007,D008
Id,Id2,Geography,Total:,White alone,Black or African American alone,American Indian and Alaska Native alone,Asian alone,Native Hawaiian and Other Pacific Islander alone,Some Other Race alone,Two or More Races
1000000US421010001001000,421010001001000,"Block 1000, Block Group 1, Census Tract 1, Philadelphia County, Pennsylvania",0,0,0,0,0,0,0,0
1000000US421010001001001,421010001001001,"Block 1001, Block Group 1, Census Tract 1, Philadelphia County, Pennsylvania",133,116,3,1,9,0,1,3
1000000US421010001001002,421010001001002,"Block 1002, Block Group 1, Census Tract 1, Philadelphia County, Pennsylvania",87,78,2,2,4,0,1,0
1000000US421010001001003,421010001001003,"Block 1003, Block Group 1, Census Tract 1, Philadelphia County, Pennsylvania",197,171,6,0,14,0,2,4
1000000US421010001001004,421010001001004,"Block 1004, Block Group 1, Census Tract 1, Philadelphia County, Pennsylvania",187,125,49,2,4,0,3,4
1000000US421010001001005,421010001001005,"Block 1005, Block Group 1, Census Tract 1, Philadelphia County, Pennsylvania",0,0,0,0,0,0,0,0
1000000US421010001001006,421010001001006,"Block 1006, Block Group 1, Census Tract 1, Philadelphia County, Pennsylvania",0,0,0,0,0,0,0,0
1000000US421010001001007,421010001001007,"Block 1007, Block Group 1, Census Tract 1, Philadelphia County, Pennsylvania",102,89,4,0,6,0,0,3
1000000US421010001001008,421010001001008,"Block 1008, Block Group 1, Census Tract 1, Philadelphia County, Pennsylvania",0,0,0,0,0,0,0,0
1000000US421010001001009,421010001001009,"Block 1009, Block Group 1, Census Tract 1, Philadelphia County, Pennsylvania",133,108,11,0,4,0,3,7
1000000US421010001001010,421010001001010,"Block 1010, Block Group 1, Census Tract 1, Philadelphia County, Pennsylvania",90,77,8,0,4,0,0,1
1000000US421010001001011,421010001001011,"Block 1011, Block Group 1, Census Tract 1, Philadelphia County, Pennsylvania",7,5,1,0,1,0,0,0
1000000US421010001001012,421010001001012,"Block 1012, Block Group 1, Census Tract 1, Philadelphia County, Pennsylvania",51,37,2,0,10,0,0,2
1000000US421010001001013,421010001001013,"Block 1013, Block Group 1, Census Tract 1, Philadelphia County, Pennsylvania",0,0,0,0,0,0,0,0
1000000US421010001001014,421010001001014,"Block 1014, Block Group 1, Census Tract 1, Philadelphia County, Pennsylvania",7,7,0,0,0,0,0,0
1000000US421010001001015,421010001001015,"Block 1015, Block Group 1, Census Tract 1, Philadelphia County, Pennsylvania",163,139,10,1,11,0,0,2
1000000US421010001001016,421010001001016,"Block 1016, Block Group 1, Census Tract 1, Philadelphia County, Pennsylvania",43,37,0,0,5,0,0,1
1000000US421010001001017,421010001001017,"Block 1017, Block Group 1, Census Tract 1, Philadelphia County, Pennsylvania",66,55,5,0,5,0,1,0
1000000US421010001001018,421010001001018,"Block 1018, Block Group 1, Census Tract 1, Philadelphia County, Pennsylvania",0,0,0,0,0,0,0,0
1000000US421010001001019,421010001001019,"Block 1019, Block Group 1, Census Tract 1, Philadelphia County, Pennsylvania",123,115,2,0,2,0,0,4
1000000US421010001001020,421010001001020,"Block 1020, Block Group 1, Census Tract 1, Philadelphia County, Pennsylvania",18,12,4,0,1,0,0,1
1000000US421010001001021,421010001001021,"Block 1021, Block Group 1, Census Tract 1, Philadelphia County, Pennsylvania",18,15,0,0,3,0,0,0
1000000US421010001001022,421010001001022,"Block 1022, Block Group 1, Census Tract 1, Philadelphia County, Pennsylvania",45,40,0,1,1,0,0,3
1000000US421010001001023,421010001001023,"Block 1023, Block Group 1, Census Tract 1, Philadelphia County, Pennsylvania",66,55,4,1,6,0,0,0
1000000US421010001001024,421010001001024,"Block 1024, Block Group 1, Census Tract 1, Philadelphia County, Pennsylvania",0,0,0,0,0,0,0,0
1000000US421010001001025,421010001001025,"Block 1025, Block Group 1, Census Tract 1, Philadelphia County, Pennsylvania",10,7,0,0,0,0,0,3
1000000US421010001001026,421010001001026,"Block 1026, Block Group 1, Census Tract 1, Philadelphia County, Pennsylvania",87,83,4,0,0,0,0,0
1000000US421010001002000,421010001002000,"Block 2000, Block Group 2, Census Tract 1, Philadelphia County, Pennsylvania",50,46,3,0,1,0,0,0
1000000US421010001002001,421010001002001,"Block 2001, Block Group 2, Census Tract 1, Philadelphia County, Pennsylvania",34,31,0,0,0,0,1,2
1000000US421010001002002,421010001002002,"Block 2002, Block Group 2, Census Tract 1, Philadelphia County, Pennsylvania",0,0,0,0,0,0,0,0
1000000US421010001002003,421010001002003,"Block 2003, Block Group 2, Census Tract 1, Philadelphia County, Pennsylvania",2,2,0,0,0,0,0,0
1000000US421010001002004,421010001002004,"Block 2004, Block Group 2, Census Tract 1, Philadelphia County, Pennsylvania",27,25,1,0,1,0,0,0
1000000US421010001002005,421010001002005,"Block 2005, Block Group 2, Census Tract 1, Philadelphia County, Pennsylvania",214,183,12,0,12,0,0,7
1000000US421010001002006,421010001002006,"Block 2006, Block Group 2, Census Tract 1, Philadelphia County, Pennsylvania",38,30,7,0,1,0,0,0
1000000US421010001002007,421010001002007,"Block 2007, Block Group 2, Census Tract 1, Philadelphia County, Pennsylvania",2,1,0,0,0,0,1,0
1000000US421010001002008,421010001002008,"Block 2008, Block Group 2, Census Tract 1, Philadelphia County, Pennsylvania",0,0,0,0,0,0,0,0
1000000US421010001002009,421010001002009,"Block 2009, Block Group 2, Census Tract 1, Philadelphia County, Pennsylvania",0,0,0,0,0,0,0,0
1000000US421010001002010,421010001002010,"Block 2010, Block Group 2, Census Tract 1, Philadelphia County, Pennsylvania",0,0,0,0,0,0,0,0
1000000US421010001002011,421010001002011,"Block 2011, Block Group 2, Census Tract 1, Philadelphia County, Pennsylvania",0,0,0,0,0,0,0,0
1000000US421010001002012,421010001002012,"Block 2012, Block Group 2, Census Tract 1, Philadelphia County, Pennsylvania",0,0,0,0,0,0,0,0
1000000US421010001002013,421010001002013,"Block 2013, Block Group 2, Census Tract 1, Philadelphia County, Pennsylvania",0,0,0,0,0,0,0,0
1000000US421010001002014,421010001002014,"Block 2014, Block Group 2, Census Tract 1, Philadelphia County, Pennsylvania",170,152,10,0,7,0,1,0
1000000US421010001002015,421010001002015,"Block 2015, Block Group 2, Census Tract 1, Philadelphia County, Pennsylvania",45,40,4,0,0,0,1,0
1000000US421010001002016,421010001002016,"Block 2016, Block Group 2, Census Tract 1, Philadelphia County, Pennsylvania",0,0,0,0,0,0,0,0
1000000US421010001002017,421010001002017,"Block 2017, Block Group 2, Census Tract 1, Philadelphia County, Pennsylvania",0,0,0,0,0,0,0,0
1000000US421010001002018,421010001002018,"Block 2018, Block Group 2, Census Tract 1, Philadelphia County, Pennsylvania",0,0,0,0,0,0,0,0
1000000US421010001002019,421010001002019,"Block 2019, Block Group 2, Census Tract 1, Philadelphia County, Pennsylvania",43,38,3,0,2,0,0,0
1000000US421010001002020,421010001002020,"Block 2020, Block Group 2, Census Tract 1, Philadelphia County, Pennsylvania",0,0,0,0,0,0,0,0
1000000US421010001002021,421010001002021,"Block 2021, Block Group 2, Census Tract 1, Philadelphia County, Pennsylvania",0,0,0,0,0,0,0,0
1000000US421010001002022,421010001002022,"Block 2022, Block Group 2, Census Tract 1, Philadelphia County, Pennsylvania",0,0,0,0,0,0,0,0
1000000US421010001002023,421010001002023,"Block 2023, Block Group 2, Census Tract 1, Philadelphia County, Pennsylvania",0,0,0,0,0,0,0,0
1000000US421010001002024,421010001002024,"Block 2024, Block Group 2, Census Tract 1, Philadelphia County, Pennsylvania",0,0,0,0,0,0,0,0
1000000US421010001002025,421010001002025,"Block 2025, Block Group 2, Census Tract 1, Philadelphia County, Pennsylvania",0,0,0,0,0,0,0,0
1000000US421010001002026,421010001002026,"Block 2026, Block Group 2, Census Tract 1, Philadelphia County, Pennsylvania",0,0,0,0,0,0,0,0
1000000US421010001002027,421010001002027,"Block 2027, Block Group 2, Census Tract 1, Philadelphia County, Pennsylvania",0,0,0,0,0,0,0,0
1000000US421010001002028,421010001002028,"Block 2028, Block Group 2, Census Tract 1, Philadelphia County, Pennsylvania",0,0,0,0,0,0,0,0
1000000US421010001002029,421010001002029,"Block 2029, Block Group 2, Census Tract 1, Philadelphia County, Pennsylvania",0,0,0,0,0,0,0,0
1000000US421010001002030,421010001002030,"Block 2030, Block Group 2, Census Tract 1, Philadelphia County, Pennsylvania",0,0,0,0,0,0,0,0
1000000US421010001002031,421010001002031,"Block 2031, Block Group 2, Census Tract 1, Philadelphia County, Pennsylvania",0,0,0,0,0,0,0,0
1000000US421010001002032,421010001002032,"Block 2032, Block Group 2, Census Tract 1, Philadelphia County, Pennsylvania",0,0,0,0,0,0,0,0
1000000US421010001002033,421010001002033,"Block 2033, Block Group 2, Census Tract 1, Philadelphia County, Pennsylvania",0,0,0,0,0,0,0,0
1000000US421010001002034,421010001002034,"Block 2034, Block Group 2, Census Tract 1, Philadelphia County, Pennsylvania",143,122,15,0,5,0,1,0
1000000US421010001002035,421010001002035,"Block 2035, Block Group 2, Census Tract 1, Philadelphia County, Pennsylvania",54,42,0,0,3,0,4,5
1000000US421010001002036,421010001002036,"Block 2036, Block Group 2, Census Tract 1, Philadelphia County, Pennsylvania",3,3,0,0,0,0,0,0
1000000US421010001002037,421010001002037,"Block 2037, Block Group 2, Census Tract 1, Philadelphia County, Pennsylvania",0,0,0,0,0,0,0,0
1000000US421010001002038,421010001002038,"Block 2038, Block Group 2, Census Tract 1, Philadelphia County, Pennsylvania",0,0,0,0,0,0,0,0
1000000US421010001002039,421010001002039,"Block 2039, Block Group 2, Census Tract 1, Philadelphia County, Pennsylvania",69,63,0,0,3,0,1,2
1000000US421010001002040,421010001002040,"Block 2040, Block Group 2, Census Tract 1, Philadelphia County, Pennsylvania",37,31,3,0,3,0,0,0
1000000US421010001002041,421010001002041,"Block 2041, Block Group 2, Census Tract 1, Philadelphia County, Pennsylvania",0,0,0,0,0,0,0,0
1000000US421010001002042,421010001002042,"Block 2042, Block Group 2, Census Tract 1, Philadelphia County, Pennsylvania",16,14,2,0,0,0,0,0
1000000US421010001002043,421010001002043,"Block 2043, Block Group 2, Census Tract 1, Philadelphia County, Pennsylvania",154,130,5,0,13,1,1,4
1000000US421010001002044,421010001002044,"Block 2044, Block Group 2, Census Tract 1, Philadelphia County, Pennsylvania",94,78,7,0,2,0,5,2
1000000US421010001002045,421010001002045,"Block 2045, Block Group 2, Census Tract 1, Philadelphia County, Pennsylvania",58,54,1,0,1,0,0,2
1000000US421010001002046,421010001002046,"Block 2046, Block Group 2, Census Tract 1, Philadelphia County, Pennsylvania",54,47,6,0,0,0,0,1
1000000US421010001002047,421010001002047,"Block 2047, Block Group 2, Census Tract 1, Philadelphia County, Pennsylvania",20,20,0,0,0,0,0,0
1000000US421010001002048,421010001002048,"Block 2048, Block Group 2, Census Tract 1, Philadelphia County, Pennsylvania",0,0,0,0,0,0,0,0
1000000US421010001002049,421010001002049,"Block 2049, Block Group 2, Census Tract 1, Philadelphia County, Pennsylvania",310,268,10,0,17,0,7,8
1000000US421010001002050,421010001002050,"Block 2050, Block Group 2, Census Tract 1, Philadelphia County, Pennsylvania",75,67,0,0,5,1,1,1
1000000US421010001002051,421010001002051,"Block 2051, Block Group 2, Census Tract 1, Philadelphia County, Pennsylvania",122,102,7,0,6,0,0,7
1000000US421010001002052,421010001002052,"Block 2052, Block Group 2, Census Tract 1, Philadelphia County, Pennsylvania",11,8,1,0,2,0,0,0
1000000US421010002001000,421010002001000,"Block 1000, Block Group 1, Census Tract 2, Philadelphia County, Pennsylvania",0,0,0,0,0,0,0,0
1000000US421010002001001,421010002001001,"Block 1001, Block Group 1, Census Tract 2, Philadelphia County, Pennsylvania",0,0,0,0,0,0,0,0
1000000US421010002001002,421010002001002,"Block 1002, Block Group 1, Census Tract 2, Philadelphia County, Pennsylvania",0,0,0,0,0,0,0,0
1000000US421010002001003,421010002001003,"Block 1003, Block Group 1, Census Tract 2, Philadelphia County, Pennsylvania",0,0,0,0,0,0,0,0
1000000US421010002001004,421010002001004,"Block 1004, Block Group 1, Census Tract 2, Philadelphia County, Pennsylvania",0,0,0,0,0,0,0,0
1000000US421010002001005,421010002001005,"Block 1005, Block Group 1, Census Tract 2, Philadelphia County, Pennsylvania",0,0,0,0,0,0,0,0
